Fold1,Mean±Std
73.33,73.33±0.00
63.33,63.33±0.00
90.00,90.00±0.00
93.33,93.33±0.00
36.67,36.67±0.00
40.00,40.00±0.00
53.33,53.33±0.00
63.33,63.33±0.00
73.33,73.33±0.00
80.00,80.00±0.00
26.67,26.67±0.00
96.67,96.67±0.00
96.67,96.67±0.00
66.67,66.67±0.00
80.00,80.00±0.00
68.89,68.89±21.35
