Fold1,Mean±Std
93.33,93.33±0.00
53.33,53.33±0.00
86.67,86.67±0.00
86.67,86.67±0.00
30.00,30.00±0.00
43.33,43.33±0.00
60.00,60.00±0.00
66.67,66.67±0.00
83.33,83.33±0.00
86.67,86.67±0.00
40.00,40.00±0.00
93.33,93.33±0.00
96.67,96.67±0.00
56.67,56.67±0.00
80.00,80.00±0.00
70.44,70.44±21.11
