Fold1,Mean±Std
83.33,83.33±0.00
40.00,40.00±0.00
83.33,83.33±0.00
83.33,83.33±0.00
40.00,40.00±0.00
20.00,20.00±0.00
56.67,56.67±0.00
66.67,66.67±0.00
76.67,76.67±0.00
90.00,90.00±0.00
30.00,30.00±0.00
93.33,93.33±0.00
93.33,93.33±0.00
60.00,60.00±0.00
53.33,53.33±0.00
64.67,64.67±23.25
