Fold1,Mean±Std
80.00,80.00±0.00
46.67,46.67±0.00
90.00,90.00±0.00
86.67,86.67±0.00
30.00,30.00±0.00
30.00,30.00±0.00
46.67,46.67±0.00
73.33,73.33±0.00
86.67,86.67±0.00
80.00,80.00±0.00
26.67,26.67±0.00
90.00,90.00±0.00
93.33,93.33±0.00
60.00,60.00±0.00
40.00,40.00±0.00
64.00,64.00±24.14
