Fold1,Mean±Std
86.67,86.67±0.00
63.33,63.33±0.00
80.00,80.00±0.00
93.33,93.33±0.00
36.67,36.67±0.00
50.00,50.00±0.00
66.67,66.67±0.00
73.33,73.33±0.00
83.33,83.33±0.00
80.00,80.00±0.00
46.67,46.67±0.00
90.00,90.00±0.00
90.00,90.00±0.00
70.00,70.00±0.00
63.33,63.33±0.00
71.56,71.56±16.59
