Fold1,Mean±Std
86.67,86.67±0.00
56.67,56.67±0.00
90.00,90.00±0.00
93.33,93.33±0.00
26.67,26.67±0.00
46.67,46.67±0.00
60.00,60.00±0.00
66.67,66.67±0.00
83.33,83.33±0.00
80.00,80.00±0.00
36.67,36.67±0.00
96.67,96.67±0.00
96.67,96.67±0.00
56.67,56.67±0.00
66.67,66.67±0.00
69.56,69.56±21.49
