Fold1,Mean±Std
73.33,73.33±0.00
43.33,43.33±0.00
83.33,83.33±0.00
93.33,93.33±0.00
43.33,43.33±0.00
36.67,36.67±0.00
43.33,43.33±0.00
73.33,73.33±0.00
80.00,80.00±0.00
80.00,80.00±0.00
26.67,26.67±0.00
90.00,90.00±0.00
83.33,83.33±0.00
53.33,53.33±0.00
53.33,53.33±0.00
63.78,63.78±21.01
