Fold1,Mean±Std
80.00,80.00±0.00
63.33,63.33±0.00
86.67,86.67±0.00
93.33,93.33±0.00
40.00,40.00±0.00
33.33,33.33±0.00
60.00,60.00±0.00
80.00,80.00±0.00
80.00,80.00±0.00
86.67,86.67±0.00
43.33,43.33±0.00
93.33,93.33±0.00
93.33,93.33±0.00
70.00,70.00±0.00
73.33,73.33±0.00
71.78,71.78±19.24
