Fold1,Mean±Std
76.67,76.67±0.00
50.00,50.00±0.00
93.33,93.33±0.00
93.33,93.33±0.00
43.33,43.33±0.00
43.33,43.33±0.00
56.67,56.67±0.00
60.00,60.00±0.00
66.67,66.67±0.00
86.67,86.67±0.00
36.67,36.67±0.00
86.67,86.67±0.00
96.67,96.67±0.00
63.33,63.33±0.00
70.00,70.00±0.00
68.22,68.22±19.36
