Fold1,Mean±Std
76.67,76.67±0.00
36.67,36.67±0.00
90.00,90.00±0.00
83.33,83.33±0.00
40.00,40.00±0.00
26.67,26.67±0.00
50.00,50.00±0.00
60.00,60.00±0.00
83.33,83.33±0.00
83.33,83.33±0.00
33.33,33.33±0.00
90.00,90.00±0.00
86.67,86.67±0.00
60.00,60.00±0.00
50.00,50.00±0.00
63.33,63.33±21.94
